Platform,size,GPU,PKG,seconds
sac-gen-bool, 512, 6.40, 17.44, 0.28577802
sac-gen-bool, 512, 6.49, 17.15, 0.28333710
sac-gen-bool, 512, 6.54, 17.42, 0.28530880
sac-gen-bool, 512, 6.60, 17.50, 0.28976030
sac-gen-bool, 512, 7.45, 20.33, 0.30264774
sac-gen-bool, 512, 7.50, 20.63, 0.30493035
sac-gen-bool, 512, 6.50, 17.97, 0.29504358
sac-gen-bool, 512, 6.55, 17.41, 0.28311396
sac-gen-bool, 512, 6.51, 17.84, 0.29222617
sac-gen-bool, 512, 6.48, 17.24, 0.28394963
sac-gen-bool, 512, 6.47, 16.97, 0.28422294
sac-gen-bool, 512, 6.55, 17.14, 0.28819442
sac-gen-bool, 512, 6.47, 16.78, 0.29152602
sac-gen-bool, 512, 6.44, 16.96, 0.28885299
sac-gen-bool, 512, 6.45, 17.02, 0.28218760
sac-gen-bool, 512, 6.47, 16.90, 0.29189312
sac-gen-bool, 512, 6.46, 17.18, 0.28316676
sac-gen-bool, 512, 6.50, 17.08, 0.28745867
sac-gen-bool, 512, 6.50, 17.43, 0.28516524
sac-gen-bool, 512, 6.44, 17.31, 0.28953201
sac-gen-bool, 512, 6.55, 17.67, 0.28440350
sac-gen-bool, 512, 6.52, 17.37, 0.28627983
sac-gen-bool, 512, 6.49, 17.27, 0.28379263
sac-gen-bool, 512, 7.61, 20.52, 0.30477038
sac-gen-bool, 512, 6.47, 17.51, 0.28645365
sac-gen-bool, 512, 6.43, 17.45, 0.28251332
sac-gen-bool, 512, 6.45, 17.23, 0.28546947
sac-gen-bool, 512, 6.47, 18.16, 0.29248440
sac-gen-bool, 512, 6.49, 17.23, 0.28261966
sac-gen-bool, 512, 6.41, 17.17, 0.28649479
sac-gen-bool, 1024, 8.63, 24.52, 0.38307255
sac-gen-bool, 1024, 8.53, 24.45, 0.38483664
sac-gen-bool, 1024, 8.50, 23.94, 0.38402775
sac-gen-bool, 1024, 8.64, 24.38, 0.37958177
sac-gen-bool, 1024, 8.60, 23.90, 0.39493032
sac-gen-bool, 1024, 9.69, 27.73, 0.42192021
sac-gen-bool, 1024, 8.64, 24.14, 0.37519626
sac-gen-bool, 1024, 9.58, 27.00, 0.40613262
sac-gen-bool, 1024, 9.63, 27.04, 0.41440399
sac-gen-bool, 1024, 8.61, 23.22, 0.37837746
sac-gen-bool, 1024, 8.48, 22.96, 0.39151285
sac-gen-bool, 1024, 8.59, 22.98, 0.38597731
sac-gen-bool, 1024, 8.62, 22.81, 0.38520729
sac-gen-bool, 1024, 8.56, 23.23, 0.38357654
sac-gen-bool, 1024, 8.57, 23.09, 0.38823490
sac-gen-bool, 1024, 8.69, 23.42, 0.39240135
sac-gen-bool, 1024, 8.55, 23.62, 0.38611393
sac-gen-bool, 1024, 8.52, 23.70, 0.39182605
sac-gen-bool, 1024, 8.70, 23.43, 0.39835174
sac-gen-bool, 1024, 8.85, 24.70, 0.38501967
sac-gen-bool, 1024, 13.23, 23.93, 0.38722283
sac-gen-bool, 1024, 14.83, 23.20, 0.39632261
sac-gen-bool, 1024, 14.87, 23.52, 0.38781930
sac-gen-bool, 1024, 14.86, 23.15, 0.38819582
sac-gen-bool, 1024, 13.01, 22.89, 0.37981416
sac-gen-bool, 1024, 10.65, 25.71, 0.41563396
sac-gen-bool, 1024, 9.14, 22.36, 0.39286076
sac-gen-bool, 1024, 10.17, 25.65, 0.42104565
sac-gen-bool, 1024, 8.87, 22.23, 0.38973923
sac-gen-bool, 1024, 8.70, 22.91, 0.37993843
sac-gen-bool, 2048, 14.08, 38.23, 0.63132325
sac-gen-bool, 2048, 12.88, 36.14, 0.58943733
sac-gen-bool, 2048, 12.83, 38.09, 0.57890489
sac-gen-bool, 2048, 12.94, 37.27, 0.58605462
sac-gen-bool, 2048, 12.96, 36.01, 0.58889009
sac-gen-bool, 2048, 13.04, 35.57, 0.58860992
sac-gen-bool, 2048, 12.83, 36.75, 0.58663076
sac-gen-bool, 2048, 12.97, 37.55, 0.57967589
sac-gen-bool, 2048, 14.03, 39.09, 0.63150790
sac-gen-bool, 2048, 14.92, 41.06, 0.65940891
sac-gen-bool, 2048, 12.85, 34.95, 0.59252048
sac-gen-bool, 2048, 13.93, 38.96, 0.60187442
sac-gen-bool, 2048, 12.88, 37.53, 0.57973692
sac-gen-bool, 2048, 12.86, 37.26, 0.58259453
sac-gen-bool, 2048, 12.96, 37.18, 0.57531944
sac-gen-bool, 2048, 12.91, 37.04, 0.59020188
sac-gen-bool, 2048, 13.12, 37.01, 0.58419250
sac-gen-bool, 2048, 13.04, 36.40, 0.58787741
sac-gen-bool, 2048, 13.32, 36.49, 0.56592465
sac-gen-bool, 2048, 13.08, 39.14, 0.57847535
sac-gen-bool, 2048, 12.93, 37.07, 0.58799482
sac-gen-bool, 2048, 12.93, 36.78, 0.58927083
sac-gen-bool, 2048, 13.12, 36.96, 0.57487280
sac-gen-bool, 2048, 12.93, 36.14, 0.58435225
sac-gen-bool, 2048, 12.96, 36.06, 0.58598028
sac-gen-bool, 2048, 13.02, 36.31, 0.57786492
sac-gen-bool, 2048, 12.93, 39.72, 0.58845706
sac-gen-bool, 2048, 12.85, 36.83, 0.60076025
sac-gen-bool, 2048, 15.07, 43.35, 0.66212300
sac-gen-bool, 2048, 12.89, 36.95, 0.57168881
